equipment_id,equipment_name,equipment_type,manufacturer,model_number,serial_number,capacity,flowrate,pressure,temperature,location,status,installation_date,last_maintenance,notes
PUMP-001,Main Circulation Pump,Pump,Grundfos,CR-150,SN-2023-001,200.0,150.5,5.2,45.5,Building A - Floor 1,Active,2022-01-15,2024-09-10,Primary circulation system
PUMP-002,Secondary Pump,Pump,Grundfos,CR-100,SN-2023-002,150.0,120.0,4.8,42.0,Building A - Floor 1,Active,2022-01-20,2024-08-22,Backup pump
VALVE-001,Main Control Valve,Valve,Fisher,V200,SN-2023-003,100.0,100.0,3.8,38.0,Building A - Floor 1,Active,2022-02-01,2024-10-05,Flow control valve
VALVE-002,Safety Relief Valve,Valve,Anderson,SRV-50,SN-2023-004,50.0,50.0,6.5,40.0,Building A - Floor 2,Active,2022-02-05,2024-09-15,Safety system
TANK-001,Main Storage Tank,Tank,TankCo,T-5000,SN-2023-005,5000.0,0.0,1.0,25.0,Building B - Ground,Active,2021-12-10,2024-06-20,Primary storage
TANK-002,Secondary Storage,Tank,TankCo,T-3000,SN-2023-006,3000.0,0.0,1.0,25.0,Building B - Ground,Inactive,2021-12-15,2024-03-10,Reserved for expansion
REACTOR-001,Main Reactor,Reactor,ChemReact,RX-1000,SN-2023-007,1000.0,80.0,10.5,120.0,Building C - Floor 2,Active,2022-03-01,2024-10-20,Primary reactor unit
REACTOR-002,Auxiliary Reactor,Reactor,ChemReact,RX-500,SN-2023-008,500.0,50.0,9.8,115.0,Building C - Floor 2,Maintenance,2022-03-10,2024-07-30,Needs seal replacement
HEX-001,Plate Heat Exchanger,Heat Exchanger,Alfa Laval,AX-30,SN-2023-009,300.0,200.0,4.0,80.0,Building A - Floor 3,Active,2022-04-01,2024-09-25,Cooling system
HEX-002,Shell and Tube HEX,Heat Exchanger,Alfa Laval,ST-50,SN-2023-010,500.0,250.0,5.5,90.0,Building A - Floor 3,Active,2022-04-05,2024-10-01,Heating system
COMP-001,Main Compressor,Compressor,Atlas Copco,GA-110,SN-2023-011,110.0,180.0,8.0,70.0,Building D - Utility,Active,2022-05-01,2024-08-15,Air compression
COMP-002,Backup Compressor,Compressor,Atlas Copco,GA-90,SN-2023-012,90.0,150.0,7.5,68.0,Building D - Utility,Active,2022-05-10,2024-09-05,Standby unit
SEP-001,Cyclone Separator,Separator,SepTech,CY-200,SN-2023-013,200.0,100.0,2.5,35.0,Building C - Floor 1,Active,2022-06-01,2024-10-10,Phase separation
SEP-002,Filter Separator,Separator,SepTech,FS-150,SN-2023-014,150.0,90.0,2.8,32.0,Building C - Floor 1,Active,2022-06-05,2024-09-20,Filtration system
MIX-001,Static Mixer,Mixer,MixerCo,SM-100,SN-2023-015,100.0,120.0,3.2,40.0,Building C - Floor 1,Active,2022-07-01,2024-10-15,Inline mixing
MIX-002,Agitator Mixer,Mixer,MixerCo,AG-200,SN-2023-016,200.0,80.0,2.0,38.0,Building C - Floor 2,Active,2022-07-10,2024-08-30,Tank agitation
FILTER-001,Bag Filter,Filter,Filterite,BF-50,SN-2023-017,50.0,100.0,2.0,30.0,Building A - Floor 2,Active,2022-08-01,2024-10-25,Particulate removal
FILTER-002,Cartridge Filter,Filter,Filterite,CF-30,SN-2023-018,30.0,60.0,1.8,28.0,Building A - Floor 2,Maintenance,2022-08-05,2024-06-15,Cartridge replacement due
PUMP-003,Transfer Pump,Pump,Sulzer,TP-80,SN-2023-019,80.0,95.0,4.2,40.0,Building B - Ground,Active,2022-09-01,2024-09-30,Tank transfer
PUMP-004,Dosing Pump,Pump,ProMinent,DP-20,SN-2023-020,20.0,15.0,10.0,35.0,Building A - Floor 1,Active,2022-09-10,2024-10-20,Chemical dosing
VALVE-003,Butterfly Valve,Valve,Bray,BV-150,SN-2023-021,150.0,130.0,3.5,38.0,Building A - Floor 2,Active,2022-10-01,2024-08-25,Process isolation
VALVE-004,Ball Valve,Valve,Bray,BL-100,SN-2023-022,100.0,100.0,4.0,40.0,Building A - Floor 2,Active,2022-10-05,2024-09-28,Flow control
TANK-003,Day Tank,Tank,TankCo,T-1000,SN-2023-023,1000.0,0.0,1.2,25.0,Building A - Floor 1,Active,2022-11-01,2024-07-15,Daily operations
HEX-003,Spiral Heat Exchanger,Heat Exchanger,Alfa Laval,SP-40,SN-2023-024,400.0,180.0,4.5,75.0,Building C - Floor 3,Active,2022-11-10,2024-10-12,Process cooling
PUMP-005,Booster Pump,Pump,Grundfos,BP-75,SN-2023-025,75.0,85.0,6.0,42.0,Building B - Floor 1,Inactive,2023-01-15,2024-05-20,Currently not in use

